,date,product,machine,heure,jour_nom,semaine,date_courte,semaine_personnalisee,stock_max
0,2019-11-14 11:53:35,refill,A,11,jeudi,45,14/11/2019,1,0
1,2019-11-14 12:06:35,coffee,A,12,jeudi,45,14/11/2019,1,280
2,2019-11-14 12:07:59,soda,A,12,jeudi,45,14/11/2019,1,120
3,2019-11-14 12:13:45,soda,A,12,jeudi,45,14/11/2019,1,120
4,2019-11-14 12:22:35,coffee,A,12,jeudi,45,14/11/2019,1,280
5,2019-11-14 12:37:44,soda,A,12,jeudi,45,14/11/2019,1,120
6,2019-11-14 12:47:09,refill,B,12,jeudi,45,14/11/2019,1,0
7,2019-11-14 12:47:52,coffee,A,12,jeudi,45,14/11/2019,1,280
8,2019-11-14 12:51:00,coffee,A,12,jeudi,45,14/11/2019,1,280
9,2019-11-14 12:52:49,coffee,A,12,jeudi,45,14/11/2019,1,280
10,2019-11-14 12:55:16,coffee,A,12,jeudi,45,14/11/2019,1,280
11,2019-11-14 12:55:53,soda,A,12,jeudi,45,14/11/2019,1,120
12,2019-11-14 12:56:49,coffee,A,12,jeudi,45,14/11/2019,1,280
13,2019-11-14 13:01:09,coffee,B,13,jeudi,45,14/11/2019,1,280
14,2019-11-14 13:03:46,coffee,B,13,jeudi,45,14/11/2019,1,280
15,2019-11-14 13:11:34,coffee,A,13,jeudi,45,14/11/2019,1,280
16,2019-11-14 13:11:52,coffee,B,13,jeudi,45,14/11/2019,1,280
17,2019-11-14 13:17:40,coffee,A,13,jeudi,45,14/11/2019,1,280
18,2019-11-14 13:25:54,coffee,A,13,jeudi,45,14/11/2019,1,280
19,2019-11-14 13:27:47,coffee,A,13,jeudi,45,14/11/2019,1,280
20,2019-11-14 13:38:02,soda,A,13,jeudi,45,14/11/2019,1,120
21,2019-11-14 13:44:06,coffee,B,13,jeudi,45,14/11/2019,1,280
22,2019-11-14 13:48:50,coffee,A,13,jeudi,45,14/11/2019,1,280
23,2019-11-14 13:51:00,coffee,B,13,jeudi,45,14/11/2019,1,280
